state,incident_type,year_only
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
OH,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Snowstorm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
IN,Severe Storm,2005
