year,incident_type
1953,Tornado
1954,Flood
1955,Flood
1956,Flood
1957,Flood
1958,Flood
1959,Flood
1960,Flood
1961,Flood
1962,Flood
1963,Flood
1964,Flood
1965,Flood
1966,Flood
1967,Flood
1968,Flood
1969,Flood
1970,Flood
1971,Flood
1972,Flood
1973,Flood
1974,Flood
1975,Flood
1976,Drought
1977,Drought
1978,Snowstorm
1979,Flood
1980,Flood
1981,Flood
1982,Flood
1983,Flood
1984,Flood
1985,Flood
1986,Flood
1987,Flood
1988,Tornado
1989,Flood
1990,Severe Storm
1991,Flood
1992,Flood
1993,Snowstorm
1994,Severe Storm
1995,Severe Storm
1996,Snowstorm
1997,Severe Storm
1998,Severe Storm
1999,Hurricane
2000,Severe Storm
2001,Severe Storm
2002,Severe Storm
2003,Severe Storm
2004,Severe Storm
2005,Hurricane
2006,Severe Storm
2007,Severe Storm
2008,Severe Storm
2009,Severe Storm
2010,Severe Storm
2011,Severe Storm
2012,Hurricane
2013,Severe Storm
2014,Severe Ice Storm
2015,Severe Storm
2016,Flood
2017,Hurricane
2018,Hurricane
2019,Flood
2020,Biological
2021,Severe Ice Storm
2022,Hurricane
2023,Flood
