state,declaration_date,incident_type
GA,1953-05-02,Tornado
TX,1953-05-15,Tornado
LA,1953-05-29,Flood
MI,1953-06-02,Tornado
MT,1953-06-06,Flood
MI,1953-06-09,Tornado
IA,1953-06-11,Flood
MA,1953-06-11,Tornado
TX,1953-06-19,Flood
NH,1953-07-02,Fire
FL,1953-10-22,Flood
AK,1953-10-30,Other
MS,1953-12-06,Tornado
CA,1954-02-05,Flood
GA,1954-03-17,Tornado
IA,1954-06-23,Flood
TX,1954-07-01,Flood
NV,1954-07-14,Earthquake
SD,1954-07-31,Flood
WV,1954-08-04,Flood
RI,1954-09-02,Hurricane
MA,1954-09-02,Hurricane
ME,1954-09-13,Hurricane
CT,1954-09-17,Hurricane
NY,1954-10-07,Hurricane
NM,1954-10-13,Flood
SC,1954-10-17,Hurricane
NC,1954-10-17,Hurricane
IN,1954-10-26,Flood
AK,1954-11-10,Other
HI,1955-04-01,Volcanic Eruption
CO,1955-05-25,Flood
KS,1955-05-27,Tornado
OK,1955-06-01,Flood
NV,1955-06-21,Flood
NC,1955-08-13,Hurricane
NM,1955-08-15,Flood
SC,1955-08-20,Hurricane
MA,1955-08-20,Hurricane
CT,1955-08-20,Hurricane
NJ,1955-08-20,Hurricane
PA,1955-08-20,Flood
RI,1955-08-20,Hurricane
NY,1955-08-22,Hurricane
AK,1955-12-22,Other
CA,1955-12-23,Flood
NV,1955-12-24,Flood
OR,1955-12-29,Flood
WA,1956-02-25,Flood
PA,1956-03-15,Flood
NY,1956-03-29,Flood
MI,1956-04-05,Tornado
OK,1956-04-07,Tornado
ID,1956-04-21,Flood
NC,1956-04-24,Severe Storm
OH,1956-05-17,Other
PA,1956-05-21,Severe Storm
CO,1956-06-12,Flood
OR,1956-07-20,Flood
PA,1956-08-09,Severe Storm
PR,1956-08-18,Hurricane
NV,1956-08-31,Flood
LA,1956-10-04,Hurricane
CA,1956-12-29,Fire
WV,1957-01-31,Flood
KY,1957-01-31,Flood
VA,1957-02-01,Flood
OR,1957-03-01,Flood
WA,1957-03-06,Flood
HI,1957-03-16,Other
TX,1957-04-29,Hurricane
LA,1957-05-16,Hurricane
OK,1957-05-18,Flood
MO,1957-05-22,Tornado
ID,1957-05-27,Flood
AR,1957-05-29,Tornado
MN,1957-06-22,Flood
ND,1957-06-22,Tornado
