datetime,state,country
1910-05-28,ME,us
1910-06-01,TX,us
1920-06-11,IN,us
1925-12-28,IL,us
1929-07-05,OR,us
1931-02-15,CO,us
1931-06-01,KS,us
1934-09-15,ND,us
1936-07-15,MI,us
1936-10-15,AK,us
1937-08-15,CA,us
1939-06-01,AL,us
1939-06-30,SC,us
1939-07-07,IA,us
1941-06-01,MI,us
1942-02-25,CA,us
1942-06-01,GA,us
1942-07-15,TN,us
1943-10-15,KY,us
1944-01-01,CA,us
1944-04-02,NM,us
1944-06-01,NM,us
1945-06-01,FL,us
1945-06-07,NC,us
1945-07-10,VA,us
1945-07-15,TX,us
1945-08-08,CA,us
1945-08-16,NM,us
1945-12-15,NM,us
1946-01-08,NY,us
1946-02-01,CA,us
1946-03-15,TX,us
1946-06-30,CA,us
1946-06-30,WA,us
1946-07-01,ME,us
1946-09-30,AZ,us
1947-01-10,TX,us
1947-02-20,NY,us
1947-04-15,FL,us
1947-06-01,OH,us
1947-06-01,NM,us
1947-06-13,PA,us
1947-06-15,MN,us
1947-06-15,ND,us
1947-06-15,WI,us
1947-06-20,CA,us
1947-06-30,MD,us
1947-07-01,WA,us
1947-07-01,CA,us
1947-07-01,PA,us
1947-07-04,WA,us
1947-07-05,PA,us
1947-07-09,IL,us
1947-07-14,NY,us
1947-07-14,CA,us
1947-07-15,NV,us
1947-07-15,IL,us
1947-07-15,VA,us
1947-07-15,ID,us
1947-07-15,MN,us
1947-07-15,MO,us
1947-07-15,CA,us
1947-08-08,CA,us
1947-08-10,WI,us
1947-08-12,NY,us
1947-08-15,OK,us
1947-12-24,MI,us
1948-04-30,CA,us
1948-05-10,IN,us
1948-06-15,TX,us
1948-06-30,MD,us
1948-07-15,CA,us
1948-08-01,NY,us
1948-08-15,PA,us
1948-12-12,MD,us
1949-04-10,WA,us
1949-05-01,WV,us
1949-05-15,SC,us
1949-06-10,AK,us
1949-06-30,TN,us
1949-06-30,OR,us
1949-07-01,AK,us
1949-07-01,AL,us
1949-07-15,MS,us
1949-08-15,MN,us
1949-08-15,CA,us
1949-08-15,AL,us
1949-08-25,WA,us
1949-09-15,TX,us
1949-10-10,TX,us
1949-10-15,MD,us
1950-01-01,WV,us
1950-01-02,NY,us
1950-06-01,MS,us
1950-06-01,PA,us
1950-06-07,MD,us
1950-06-08,MO,us
1950-06-15,MI,us
1950-06-15,FL,us
1950-06-20,MS,us
1950-06-20,TX,us
1950-06-30,WI,us
1950-06-30,CO,us
1950-06-30,CO,us
1950-07-02,ID,us
1950-07-10,OH,us
1950-07-15,NJ,us
1950-07-20,PA,us
1950-08-01,KY,us
1950-08-15,OR,us
