state,declaration_date,incident_type,datetime
TX,1960-07-15,Severe Storm,1960-07-15
NY,1963-08-23,Flood,1963-08-23
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
OH,1969-07-15,Tornado,1969-07-15
CA,1969-08-15,Flood,1969-08-15
CA,1969-08-15,Flood,1969-08-15
CA,1969-08-15,Flood,1969-08-15
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
ME,1974-01-18,Flood,1974-01-18
TX,1975-04-01,Tornado,1975-04-01
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
AZ,1977-04-15,Drought,1977-04-15
CA,1980-10-02,Flood,1980-10-02
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
UT,1983-04-30,Flood,1983-04-30
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
TX,1987-11-20,Tornado,1987-11-20
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1989-10-18,Earthquake,1989-10-18
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
CA,1990-06-30,Fire,1990-06-30
FL,1992-08-24,Hurricane,1992-08-24
FL,1992-08-24,Hurricane,1992-08-24
FL,1992-08-24,Hurricane,1992-08-24
FL,1992-08-24,Hurricane,1992-08-24
CA,1994-01-17,Earthquake,1994-01-17
CA,1994-01-17,Earthquake,1994-01-17
CA,1994-01-17,Earthquake,1994-01-17
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
SD,1994-06-21,Severe Storm,1994-06-21
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
CA,1995-03-12,Severe Storm,1995-03-12
NY,1995-08-25,Fire,1995-08-25
NY,1995-08-25,Fire,1995-08-25
NY,1995-08-25,Fire,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
OH,1995-08-25,Severe Storm,1995-08-25
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
WA,1996-02-09,Flood,1996-02-09
PA,1996-09-13,Flood,1996-09-13
PA,1996-09-13,Flood,1996-09-13
PA,1996-09-13,Flood,1996-09-13
PA,1996-09-13,Flood,1996-09-13
PA,1996-09-13,Flood,1996-09-13
PA,1996-09-13,Flood,1996-09-13
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
CA,1997-01-04,Severe Storm,1997-01-04
