datetime,state,country,year
2000-01-01,TX,us,2000
2000-01-01,TX,us,2000
2000-01-04,TX,us,2000
2000-01-09,TX,us,2000
2000-01-10,TX,us,2000
2000-01-14,TX,us,2000
2000-01-15,TX,us,2000
2000-01-15,TX,us,2000
2000-01-15,TX,us,2000
2000-01-18,TX,us,2000
2000-01-19,TX,us,2000
2000-01-20,TX,us,2000
2000-01-20,TX,us,2000
2000-01-25,TX,us,2000
2000-02-01,TX,us,2000
2000-02-03,TX,us,2000
2000-02-04,TX,us,2000
2000-02-04,TX,us,2000
2000-02-08,TX,us,2000
2000-02-09,TX,us,2000
2000-02-11,TX,us,2000
2000-02-16,TX,us,2000
2000-02-19,TX,us,2000
2000-03-01,TX,us,2000
2000-03-09,TX,us,2000
2000-03-11,TX,us,2000
2000-03-16,TX,us,2000
2000-03-17,TX,us,2000
2000-03-25,TX,us,2000
2000-03-28,TX,us,2000
2000-03-31,TX,us,2000
2000-04-06,TX,us,2000
2000-04-06,TX,us,2000
2000-04-06,TX,us,2000
2000-04-13,TX,us,2000
2000-04-20,TX,us,2000
2000-04-25,TX,us,2000
2000-04-27,TX,us,2000
2000-04-27,TX,us,2000
2000-05-04,TX,us,2000
2000-05-04,TX,us,2000
2000-05-09,TX,us,2000
2000-05-15,TX,us,2000
2000-05-17,TX,us,2000
2000-05-22,TX,us,2000
2000-05-25,TX,us,2000
2000-05-28,TX,us,2000
2000-05-28,TX,us,2000
2000-06-11,TX,us,2000
2000-06-11,TX,us,2000
2000-06-12,TX,us,2000
2000-06-12,TX,us,2000
2000-06-12,TX,us,2000
2000-06-15,TX,us,2000
2000-06-17,TX,us,2000
2000-06-23,TX,us,2000
2000-06-25,TX,us,2000
2000-06-30,TX,us,2000
2000-07-01,TX,us,2000
2000-07-01,TX,us,2000
2000-07-04,TX,us,2000
2000-07-16,TX,us,2000
2000-07-19,TX,us,2000
2000-07-20,TX,us,2000
2000-07-22,TX,us,2000
2000-07-26,TX,us,2000
2000-07-26,TX,us,2000
2000-07-26,TX,us,2000
2000-07-28,TX,us,2000
2000-07-29,TX,us,2000
2000-08-01,TX,us,2000
2000-08-07,TX,us,2000
2000-08-15,TX,us,2000
2000-08-15,TX,us,2000
2000-08-15,TX,us,2000
2000-08-15,TX,us,2000
2000-08-15,TX,us,2000
2000-08-20,TX,us,2000
2000-09-01,TX,us,2000
2000-09-01,TX,us,2000
2000-09-01,TX,us,2000
