year,state,count
1953,MI,2
1954,AK,1
1955,NV,2
1956,PA,3
1957,AR,1
1958,AR,1
1959,OK,2
1960,FL,2
1961,AL,1
1962,CA,2
1963,CA,2
1964,OR,36
1965,IA,68
1966,TX,27
1967,NE,56
1968,OH,33
1969,IA,87
1970,PR,60
1971,NE,28
1972,VA,140
1973,MO,130
1974,PR,76
1975,PR,78
1976,MO,98
1977,GA,151
1978,OH,88
1979,PR,72
1980,WA,39
1981,MT,10
1982,AR,50
1983,CA,46
1984,KY,28
1985,PR,68
1986,OK,41
1987,PR,32
1988,AR,24
1989,TX,105
1990,TX,74
1991,IN,99
1992,LA,36
1993,TX,152
1994,VA,105
1995,CA,99
1996,VA,251
1997,SD,143
1998,TX,336
1999,TX,256
2000,AR,119
2001,OK,116
2002,MO,122
2003,VA,145
2004,FL,232
2005,TX,765
2006,TX,276
2007,OK,349
2008,TX,470
2009,KY,229
2010,OK,204
2011,TX,261
2012,VA,234
2013,IA,86
2014,GA,136
2015,KY,163
2016,TX,145
2017,GA,351
2018,VA,202
2019,NC,150
2020,ME,623
2021,TX,510
2022,FL,264
2023,CA,129
