year,state,count
1910,ME,1
1920,IN,1
1925,IL,1
1929,OR,1
1931,CO,1
1934,ND,1
1936,AK,1
1937,CA,1
1939,AL,1
1941,MI,1
1942,CA,1
1943,KY,1
1944,NM,2
1945,NM,2
1946,CA,2
1947,CA,5
1948,CA,2
1949,AK,2
1950,CO,2
1951,CA,2
1952,WA,6
1953,WA,3
1954,CA,8
1955,CA,3
1956,CA,6
1957,TX,10
1958,CA,5
1959,CA,8
1960,CA,7
1961,CA,5
1962,IL,5
1963,CA,7
1964,CA,7
1965,CA,17
1966,CA,18
1967,CA,21
1968,CA,21
1969,CA,16
1970,NY,16
1971,CA,12
1972,TX,13
1973,TX,17
1974,CA,24
1975,NY,21
1976,CA,29
1977,CA,33
1978,CA,42
1979,CA,31
1980,CA,28
1981,CA,26
1982,CA,17
1983,CA,14
1984,NY,14
1985,CA,17
1986,CA,19
1987,CA,19
1988,CA,23
1989,CA,22
1990,CA,35
1991,CA,23
1992,CA,23
1993,CA,31
1994,CA,53
1995,CA,47
1996,CA,60
1997,CA,118
1998,CA,192
1999,CA,324
2000,CA,390
2001,CA,329
2002,CA,373
2003,CA,530
2004,CA,495
2005,CA,476
2006,CA,490
2007,CA,531
2008,CA,630
2009,CA,576
2010,CA,531
2011,CA,554
2012,CA,673
2013,CA,637
2014,CA,274
