declaration_date,number
1953,13
1954,17
1955,18
1956,16
1957,16
1958,7
1959,7
1960,12
1961,12
1962,22
1963,20
1964,136
1965,429
1966,120
1967,196
1968,161
1969,505
1970,223
1971,174
1972,526
1973,872
1974,621
1975,461
1976,591
1977,1165
1978,442
1979,474
1980,202
1981,55
1982,158
1983,205
1984,268
1985,336
1986,286
1987,169
1988,56
1989,463
1990,615
1991,625
1992,385
1993,1712
1994,696
1995,607
1996,1695
1997,922
1998,1549
1999,1423
2000,1082
2001,1148
2002,1040
2003,1574
2004,1853
2005,4736
2006,975
2007,1640
2008,2300
2009,1265
2010,1635
2011,2690
2012,1292
2013,771
2014,690
